url,title
https://www.youtube.com/watch?v=K5byrvio1bE,"Kat Cole on How to Keep Teams Motivated in a Competitive Environment"
https://www.youtube.com/watch?v=BSp46zUW-PA,"Adm. James Stavridis on What Makes Him Hopeful About America’s Future"
https://www.youtube.com/watch?v=6aQ_54kGerM,"Dr. Ashwin Vasan on How Employers Can Improve Workplace Mental Health"
https://www.youtube.com/watch?v=R2tpmMvSBEE,"Ethan Mollick on The Strategic Role of Leaders in AI Transformation"
https://www.youtube.com/watch?v=EwuwRbWm9XQ,"Adam Grant on How to Think Like a Scientist: A Proven Method to Make Better Decisions"
https://www.youtube.com/watch?v=alv4vakPflA,"Jeremy Utley on The Power of Productive Procrastination"
https://www.youtube.com/watch?v=eDVm_7tI59U,"Adm. William McRaven on Why Leaders Need to Prove Themselves Every Day"
https://www.youtube.com/watch?v=2BcLq2wkgO8,"Alexi Pappas on a Method to Help Leaders Drive Meaningful Change"
https://www.youtube.com/watch?v=YnH5UM4OlCU,"Lisa Genova on How Emotion Fuels Lasting Memories"
https://www.youtube.com/watch?v=pIXHC0DxHRI,"Adm. James Stavridis on The Cost of Retreating From Global Leadership"
https://www.youtube.com/watch?v=JDjG4POIWC8,"Anthony Robles on Never Letting A Challenge Be An Excuse"
https://www.youtube.com/watch?v=95MT6LCsk7c,"Alexi Pappas on Work. Assess. Adapt: A Framework for Leadership Development and Business Growth"
https://www.youtube.com/watch?v=qR6HaMbdUMA,"Jeremy Utley on Investing Time to Get Optimal Results from AI"
https://www.youtube.com/watch?v=Fx7JZ5BKKbs,"Horst Schulze on Defining a Vision to Achieve Success"
https://www.youtube.com/watch?v=_IesPhiwJ2c,"Kat Cole on Three Steps to Drive Growth & Influence"
https://www.youtube.com/watch?v=PLcbx0EA1hA,"Adam Grant on How Generative AI Will Impact Creativity Within Organizations"
https://www.youtube.com/watch?v=XXoyM6g17NE,"Alexi Pappas on the Power of Leading with Intention and Reflection"
https://www.youtube.com/watch?v=NTGNYoq2QlU,"Lisa Genova on Why Better Memory Starts with Paying Attention"
https://www.youtube.com/watch?v=1X6YJi17Swo,"Ethan Mollick on Using AI to Accelerate Your Productivity At Work"
https://www.youtube.com/watch?v=sYdLhUtFxK8,"Alexi Pappas on Tying Your Goals to a Larger Vision for Purpose and Growth"
https://www.youtube.com/watch?v=jjbVeFyjuxU,"Jeremy Utley on How to Build an AI Culture to Lead for the Future"
https://www.youtube.com/watch?v=SgtLG88QW94,"Alexi Pappas on Turning Fear into Fuel for Growth and Performance"
https://www.youtube.com/watch?v=OqvT_jahUYM,"Adam Grant on How Pixar’s Riskiest Team Made Its Greatest Hit"
https://www.youtube.com/watch?v=hg5g4ws9K4A,"Ozan Varol on Why Great Ideas Always Start as Unreasonable Ideas"
https://www.youtube.com/watch?v=NiwnmqddYKA,"Alexi Pappas on Why Resilience Starts with the Basics: A High-Performance Habit Reset"
https://www.youtube.com/watch?v=oR-CFzwUEQo,"Stephanie Chung on Building Trust with Conversational Intelligence"
https://www.youtube.com/watch?v=wFZfwpeVhTk,"Jeremy Utley on The Best Way To Work With AI"
https://www.youtube.com/watch?v=La7_SbCHORM,"Bob and Lee Woodruff on Supporting Loved Ones Through Trauma"
https://www.youtube.com/watch?v=T7Q0Z8W9bSk,"Dr. Vivek Murthy on How Leaders Can Overcome Loneliness in the Workplace"
https://www.youtube.com/watch?v=B0hOk1kHYkc,"Alexi Pappas on Three Steps Great Leaders Take to Align Teams and Drive Growth"
https://www.youtube.com/watch?v=jDtcqMHbbXk,"Ozan Varol on Why Uncertainty is Necessary to Achieve Innovation Breakthroughs"
https://www.youtube.com/watch?v=WXK7Fg1uXks,"Stephanie Chung on Turning Customer Connections into Business Growth"
https://www.youtube.com/watch?v=riRBhvoD9lc,"Daniel Pink on Why Saying No Makes You More Productive | Work Smarter, Live Better"
https://www.youtube.com/watch?v=ifZVRQJIPLE,"Alexi Pappas on the Rule of Thirds: An Olympian's Proven Method for Achieving Your Goals"
https://www.youtube.com/watch?v=Q9wNrJPUUeM,"Sec. Lloyd Austin: Speaker Reel"
https://www.youtube.com/watch?v=lfRHiYF7gKg,"Paula Faris: Speaker Reel"
https://www.youtube.com/watch?v=KLl-ee514sA,"Platon on the Story Behind Photographing Vladimir Putin"
https://www.youtube.com/watch?v=ijqDNJMDBSo,"Nicholas Burns on the Threat of China's Military Buildup"
https://www.youtube.com/watch?v=qLK9D8wxTFg,"John Kirby on Lessons Learned from Crafting Communications in Global Crises"
https://www.youtube.com/watch?v=i7Emrg1jllc,"Karen Lynch on the Responsible Use of AI in Healthcare"
https://www.youtube.com/watch?v=HdEXrILOzaQ,"Stephanie Chung: Speaker Reel"
https://www.youtube.com/watch?v=JNysvbqT51o,"Nicholas Burns on China's Growing Global Influence"
https://www.youtube.com/watch?v=pew0lKgY6FQ,"John Kirby on How to Combat Disinformation"
https://www.youtube.com/watch?v=qF93IyBF73w,"Jeremy Utley on Where to Start with AI"
https://www.youtube.com/watch?v=kCk_kHFrLNw,"Stephanie Chung on Ally Leadership"
https://www.youtube.com/watch?v=SMO7DBzDDOg,"Omar Minaya on How Failure Leads to Success"
https://www.youtube.com/watch?v=Cu_igDAxImg,"Karen Lynch on Leading Business Transformation with Technology"
https://www.youtube.com/watch?v=4RQQpkmhE0M,"Jeremy Utley: Speaker Reel"
https://www.youtube.com/watch?v=1yMzUKe7V8I,"Mike "Coach K" Krzyzewski on Why a Value-Based Culture Lasts Forever"
https://www.youtube.com/watch?v=nkJnK4rLQBA,"John Kirby on Storytelling as a CNN Analyst"
https://www.youtube.com/watch?v=sOKdtLW6yo0,"George Stephanopoulos: An Inside Look at the Evolution of the White House Situation Room"
https://www.youtube.com/watch?v=uAjo5YwdKyE,"Sophia Bush on Asking for What You're Worth: A Strategy for Empowering Women in Business"
https://www.youtube.com/watch?v=BfMuuh12XEA,"Sal Giunta on Embracing the Medal of Honor to Inspire Others"
https://www.youtube.com/watch?v=J2pp00WyxOU,"Mark McClellan: Using Alternate Payment Systems to Drive Healthcare Accountability"
https://www.youtube.com/watch?v=P711k4Ldx2g,"Adam Grant on How to Reveal Hidden Potential & Unlock Organizational Excellence"
https://www.youtube.com/watch?v=jRBSax3PWZo,"Lisa Genova on Why Getting Enough Sleep is Critical to Memory Health"
https://www.youtube.com/watch?v=LsDfsdz5ojc,"Gina Raimondo: Speaker Reel"
https://www.youtube.com/watch?v=hvy5GeqtyAY,"David Cameron: India's Key Role in a Global Economic Reset"
